id,host_id,street,city,suburb,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
19490757,59845433,Westmeadows,Hume,Westmeadows,VIC,3049,-37.67656153,144.873996,House,Private room,2,1,1,65,,,,0,1,0,1,1125,4 weeks ago,t,0,16,40,311,253,98,10,10,10,10,10,10,8,14.54
24734489,186985400,Tullamarine,Hume,Tullamarine,VIC,3043,-37.70679983,144.8742195,Guest suite,Entire home/apt,2,1,1,71,,,,,1,0,1,1125,a week ago,t,3,18,42,311,101,95,10,10,10,10,10,10,1,13.77
22489044,59845433,Westmeadows,Hume,Westmeadows,VIC,3049,-37.67956156,144.8761762,House,Private room,2,1,1,55,,,,0,1,0,1,1125,2 months ago,t,5,20,40,303,142,97,10,10,10,10,10,10,8,12.49
28643147,184959905,Carlton,Melbourne,Carlton,VIC,3053,-37.80593604,144.9609581,Apartment,Entire home/apt,6,2,3,140,,,200,30,1,0,1,1125,3 weeks ago,t,1,10,30,120,28,98,10,10,10,10,10,10,4,12.35
21110233,152233984,Tecoma,Yarra Ranges,Tecoma,VIC,3160,-37.90098605,145.347807,Bungalow,Entire home/apt,2,1,1,130,,,0,10,1,0,1,1125,a week ago,t,11,28,41,128,163,97,10,10,10,10,10,10,1,11.81
26878210,66831549,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81719828,144.9663338,Apartment,Entire home/apt,2,0,1,89,,,0,23,1,0,1,5,5 days ago,t,7,23,40,40,55,98,10,10,10,10,10,10,1,11.54
9734834,50228571,Healesville,Yarra Ranges,Healesville,VIC,3777,-37.66467783,145.5149153,Cabin,Entire home/apt,2,1,1,85,,,,,1,0,1,60,2 days ago,t,2,23,49,313,421,96,10,10,10,10,10,10,1,11.51
15116206,13623734,Warburton,Yarra Ranges,Warburton,VIC,3799,-37.7504418,145.7032664,Guesthouse,Entire home/apt,2,1,1,80,,,0,30,1,0,1,31,6 weeks ago,t,9,28,57,57,304,99,10,10,10,10,10,10,1,11.3
26628004,123866857,Southbank,Melbourne,Southbank,VIC,3006,-37.82669584,144.9673737,Apartment,Private room,2,1,1,80,,,,,1,8,1,1125,3 weeks ago,t,5,14,14,14,57,96,10,10,10,10,10,10,1,11.25
5552321,28789055,Melbourne,Melbourne,Melbourne,VIC,3003,-37.82275411,144.9635545,Apartment,Entire home/apt,6,2,2,188,,,149,45,4,10,1,1125,5 days ago,t,11,39,63,147,360,96,10,9,10,10,10,10,9,11.18
20093814,6170368,Tullamarine,Hume,Tullamarine,VIC,3043,-37.68846655,144.8707343,Guest suite,Entire home/apt,2,1,1,48,,,,25,1,20,1,30,a week ago,t,9,34,63,336,36,87,10,9,10,10,10,9,3,10.91
21685447,157867681,Docklands,Melbourne,Docklands,VIC,3008,-37.8213792,144.9479619,Apartment,Entire home/apt,6,2,3,155,,,300,69,4,39,1,1125,2 months ago,t,2,13,34,122,133,98,10,10,10,10,10,10,3,10.39
27969144,211257324,Hawthorn East,Boroondara,Hawthorn East,VIC,3123,-37.84432213,145.0472874,Apartment,Entire home/apt,4,2,2,109,,,0,30,1,0,1,1125,3 weeks ago,t,9,19,26,107,33,95,10,10,9,9,10,9,1,10.1
